PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00lUJ,8/4k3/5pK1/1p2p2P/2p2b2/5P2/1PB5/8 b - - 3 34,e7e6 h5h6 f4h6 g6h6,1952,76,87,409,bishopEndgame crushing endgame short,https://lichess.org/1ROfM0IO/black#68,
00lY4,2R3k1/rb3ppp/pn2p3/4P3/1P1P1P2/P4B2/6PP/5RK1 b - - 0 23,b6c8 f1c1 c8b6 c1c7 b7f3 c7a7,1829,75,80,199,advantage endgame long,https://lichess.org/maqTkdnt/black#46,
00lap,8/8/2k3P1/R7/P2p2rp/3K4/8/8 b - - 0 45,g4g6 a5a6 c6d7 a6g6,948,82,96,275,crushing endgame master rookEndgame short skewer,https://lichess.org/vMSyus5U/black#90,
00ldC,3r1r2/pp3pk1/2p1pRp1/6Qp/2P5/P7/1q4PP/5R1K b - - 1 31,d8d2 f6g6 f7g6 g5e7 g7h6 e7f8 b2g7 f8f4 h6h7 f4d2,1733,76,97,1296,advantage clearance deflection endgame fork sacrifice veryLong,https://lichess.org/xdFXCpYF/black#62,
00lex,8/8/1p6/p1p2kPp/P6P/5K2/8/8 b - - 2 43,b6b5 a4b5 a5a4 b5b6 a4a3 b6b7 a3a2 b7b8q a2a1q b8c8 f5g6 c8g8,2333,76,100,105,advancedPawn crushing endgame pawnEndgame promotion veryLong,https://lichess.org/IQdBiegF/black#86,
00lhJ,3q3k/3n4/3PQ2p/p3P1r1/P1P4b/2N1p2P/1r6/R5RK b - - 1 32,d7e5 e6h6 h8g8 h6h4 b2h2 h1h2 e5f3 h2h1 f3h4 g1g5,2446,79,84,180,crushing fork middlegame veryLong,https://lichess.org/kllp2DcO/black#64,
00lhe,r2q1b1k/ppp3Bp/3pPp2/2n1n3/4P2P/1B3P2/PPP3Q1/2K3RR b - - 0 23,f8g7 g2g7,552,86,100,90,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Yx9AyNPB/black#46,
00liA,8/3K4/2r5/6k1/6p1/6Pp/3R3P/8 b - - 2 54,c6a6 d2d5 g5g6 d5d6 a6d6 d7d6 g6f6 d6d5 f6f5 d5d4,904,91,53,38,crushing defensiveMove endgame rookEndgame veryLong,https://lichess.org/s4AcDFcp/black#108,
00lio,r3k3/1p4R1/3pQ3/pP2p3/4q3/4Pr2/8/7K b - - 4 38,e8f8 e6g8,1120,75,100,518,endgame mate mateIn1 oneMove,https://lichess.org/e6khkz6u/black#76,
00lo9,6r1/4p3/3p1kp1/2pP1n2/1p2pRP1/1P6/4RP1P/6K1 w - - 0 40,g4f5 g6f5 g1f1 f6g5 e2e4 f5e4,1990,81,84,41,advantage discoveredAttack endgame long rookEndgame,https://lichess.org/2AMC2bmO#79,
00lsn,rnb1r2k/ppp2Qb1/2qpN3/8/3P3P/2P5/PP3P2/RN2K1R1 b Q - 0 18,c6e4 e1d1 e8e7 f7e7,2153,81,85,74,crushing defensiveMove middlegame short,https://lichess.org/Sb8oEHsM/black#36,Indian_Defense Indian_Defense_Other_variations
00luA,r2q1rk1/1b3pp1/p3p3/3n2b1/1pnN1P2/3Q4/PPP1NB2/1K1R1B1R b - - 2 20,d5f4 d3h7,751,79,89,145,master mate mateIn1 middlegame oneMove,https://lichess.org/hCM9r8D2/black#40,
00luO,2r2rk1/p4pp1/1p2p2p/4N3/q2P2PP/P7/1PnQ1P2/1K1R2R1 w - - 1 26,g4g5 a4b3 g1g3 c2a3 b1a1 a3c2,2196,77,84,105,crushing long master middlegame pin queensideAttack,https://lichess.org/O9HXyn6b#51,
00lvP,6k1/p4pp1/1p3q1p/2p1R3/2Q5/2P2N1P/P1P2PPK/2r5 w - - 4 24,c4a6 f6f4 g2g3 f4f3 e5e8 g8h7 a6d3 f3d3,1537,76,98,430,advantage deflection endgame veryLong,https://lichess.org/Krxft80K#47,
00lvf,4rbk1/pp1qr1p1/2pN3p/4P2b/3P4/6Q1/PP3RPP/5RK1 w - - 0 30,d6e8 e7e8 g3b3 d7d5 b3d5 c6d5,2036,75,91,239,advantage long middlegame,https://lichess.org/K3wOnVJy#59,
00m47,rn1r2k1/pp2qppp/4pn2/6B1/2B1b2N/8/PPP1QPPP/2KR3R b - - 7 15,e4c6 h4f5 d8d1 h1d1,1925,76,88,192,crushing middlegame short,https://lichess.org/NdpM8N8n/black#30,Scandinavian_Defense Scandinavian_Defense_Main_Line
00m5H,8/1p5p/6p1/2P2k2/1P6/P3qp1Q/8/5K2 b - - 5 43,f5e4 h3e6 e4d4 e6e3 d4e3 b4b5 g6g5 c5c6,1369,75,95,736,crushing endgame master queenEndgame quietMove veryLong,https://lichess.org/P8apABHK/black#86,
00m6L,8/8/k6p/p4p1P/p1p1pP2/K1P1P3/1P6/8 w - - 1 49,a3a4 a6b6 a4a3 b6b5 a3a2 b5a4,1476,75,94,4254,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/q1f1ucic#97,
00mF3,1r6/6k1/b2p1p2/2qP1Pp1/1pP1P1P1/3Q4/3BK3/7R w - - 4 38,d3h3 c5c4 e2f2 c4e2 f2g1 e2d1,1983,75,100,478,crushing endgame exposedKing fork long,https://lichess.org/MmowlWby#75,
00mFI,4r2k/2q1r3/2p4Q/p5P1/1p1Pp1P1/2P1N2P/PP6/4bRK1 b - - 0 28,e7h7 f1f8 e8f8 h6f8,1276,78,93,4530,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/kiOTTNFh/black#56,
00mJY,r1k1R3/pppr1B2/5p1p/8/8/8/PPP2PPP/2K5 b - - 1 20,d7d8 f7e6 c8b8 e8d8,1046,78,59,117,backRankMate deflection endgame mate mateIn2 short,https://lichess.org/tpq9s5i4/black#40,
00mJq,r1b5/pp1nkpr1/2q1p3/8/8/3B4/P1P1NPPP/R2Q1RK1 w - - 3 18,e2d4 c6g2,683,109,97,396,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/qGtdon3N#35,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
00mLw,r5k1/p5pp/1p2b2r/3p4/2pQ1P1q/2P1P2P/P1P1B1P1/R5K1 b - - 0 25,e6h3 d4d5 h3e6 d5a8,1193,78,82,168,advantage fork middlegame short,https://lichess.org/b5bclKA7/black#50,
00mNT,8/2q2p1p/R2bpkp1/2p5/4pP2/3r3P/1Q4P1/R5K1 b - - 3 38,f6f5 a6a7 d3d1 a1d1,2804,104,90,595,crushing endgame short,https://lichess.org/oxSgw2VP/black#76,
00mRr,8/2Q2kpp/1p1p2r1/1PnN4/2P1n3/6P1/1r3PK1/8 b - - 6 41,f7e6 c7e7 e6f5 d5e3,1882,78,95,15025,endgame master mate mateIn2 short,https://lichess.org/0dpg8xr1/black#82,
00mST,r4r2/ppk4p/n2N2p1/2p5/4Pb2/2P4P/PP2B2R/1K1R4 w - - 0 25,e4e5 f4h2 d6b5 c7b6 d1d6 b6a5 b5a3 f8f4,2494,77,61,102,crushing defensiveMove hangingPiece middlegame veryLong,https://lichess.org/TnR9jLpy#49,
00mY4,r1r3k1/1pB1pp1p/6p1/1p1Pn3/1R6/1P4PP/P1R2P2/6K1 w - - 5 29,b4b5 e5f3 g1f1 f3d4,1415,77,92,101,advantage endgame master masterVsMaster short,https://lichess.org/94FLTKoW#57,
00mca,1Q5r/p3nkpp/3p2q1/3P4/4P3/B1r2B1b/P4PPP/R4RK1 w - - 2 20,b8h8 c3f3 g2g3 f3a3,2221,78,86,326,crushing middlegame pin short,https://lichess.org/EIg6vKLO#39,
00mg9,1r1r3k/2q1b1pp/p7/3Q2pP/3B4/Pp6/1P3P2/1K1N2RR w - - 1 28,d5e5 c7c2 b1a1 c2c1,1467,75,73,126,mate mateIn2 middlegame queensideAttack short,https://lichess.org/LvqtEXMe#55,
